SRS1815316	SRR5047085
SRS1815369	SRR5047138
SRS1815399	SRR5047168
SRS1815308	SRR5047077
SRS1815386	SRR5047156
SRS1815289	SRR5047058
SRS1815299	SRR5047068
SRS1815431	SRR5047200
SRS1815328	SRR5047097
SRS1815429	SRR5047198
SRS1815408	SRR5047176
SRS1815407	SRR5047177
SRS1815307	SRR5047076
SRS1815435	SRR5047203
SRS1815356	SRR5047126
SRS1815345	SRR5047115
SRS1815426	SRR5047195
SRS1815358	SRR5047127
SRS1815276	SRR5047045
SRS1815331	SRR5047100
SRS1815337	SRR5047106
SRS1815319	SRR5047088
SRS1815422	SRR5047191
SRS1815296	SRR5047065
SRS1815410	SRR5047180
SRS1815350	SRR5047119
SRS1815365	SRR5047134
SRS1815325	SRR5047094
SRS1815283	SRR5047053
SRS1815427	SRR5047196
SRS1815304	SRR5047073
SRS1815340	SRR5047109
SRS1815326	SRR5047095
SRS1815414	SRR5047183
SRS1815312	SRR5047081
SRS1815371	SRR5047140
SRS1815394	SRR5047162
SRS1815321	SRR5047090
SRS1815313	SRR5047082
SRS1815314	SRR5047083
SRS1815298	SRR5047067
SRS1815344	SRR5047113
SRS1815421	SRR5047190
SRS1815273	SRR5047040
SRS1815402	SRR5047172
SRS1815411	SRR5047181
SRS1815432	SRR5047201
SRS1815346	SRR5047114
SRS1815279	SRR5047046
SRS1815348	SRR5047117
SRS1815392	SRR5047161
SRS1815400	SRR5047169
SRS1815294	SRR5047062
SRS1815424	SRR5047193
SRS1815383	SRR5047152
SRS1815413	SRR5047182
SRS1815303	SRR5047071
SRS1815293	SRR5047063
SRS1815285	SRR5047054
SRS1815391	SRR5047160
SRS1815409	SRR5047178
SRS1815354	SRR5047123
SRS1815374	SRR5047143
SRS1815320	SRR5047089
SRS1815428	SRR5047197
SRS1815367	SRR5047136
SRS1815277	SRR5047047
SRS1815323	SRR5047092
SRS1815310	SRR5047079
SRS1815430	SRR5047199
SRS1815305	SRR5047074
SRS1815360	SRR5047129
SRS1815339	SRR5047108
SRS1815382	SRR5047151
SRS1815333	SRR5047102
SRS1815412	SRR5047179
SRS1815368	SRR5047137
SRS1815375	SRR5047144
SRS1815420	SRR5047189
SRS1815352	SRR5047121
SRS1815329	SRR5047098
SRS1815355	SRR5047124
SRS1815271	SRR5047041
SRS1815318	SRR5047087
SRS1815416	SRR5047185
SRS1815415	SRR5047184
SRS1815351	SRR5047120
SRS1815322	SRR5047091
SRS1815353	SRR5047122
SRS1815297	SRR5047066
SRS1815284	SRR5047052
SRS1815324	SRR5047093
SRS1815378	SRR5047147
SRS1815387	SRR5047155
SRS1815347	SRR5047116
SRS1815398	SRR5047167
SRS1815364	SRR5047133
SRS1815404	SRR5047173
SRS1815338	SRR5047107
SRS1815291	SRR5047059
SRS1815372	SRR5047141
SRS1815393	SRR5047163
SRS1815280	SRR5047049
SRS1815376	SRR5047145
SRS1815359	SRR5047128
SRS1815419	SRR5047188
SRS1815418	SRR5047186
SRS1815379	SRR5047148
SRS1815335	SRR5047104
SRS1815292	SRR5047061
SRS1815309	SRR5047078
SRS1815272	SRR5047042
SRS1815380	SRR5047149
SRS1815275	SRR5047044
SRS1815286	SRR5047055
SRS1815343	SRR5047112
SRS1815385	SRR5047154
SRS1815434	SRR5047204
SRS1815357	SRR5047125
SRS1815384	SRR5047153
SRS1815405	SRR5047174
SRS1815288	SRR5047056
SRS1815361	SRR5047130
SRS1815370	SRR5047139
SRS1815406	SRR5047175
SRS1815281	SRR5047050
SRS1815423	SRR5047192
SRS1815341	SRR5047110
SRS1815362	SRR5047131
SRS1815302	SRR5047072
SRS1815327	SRR5047096
SRS1815381	SRR5047150
SRS1815330	SRR5047099
SRS1815315	SRR5047084
SRS1815403	SRR5047171
SRS1815389	SRR5047158
SRS1815366	SRR5047135
SRS1815433	SRR5047202
SRS1815336	SRR5047105
SRS1815334	SRR5047103
SRS1815373	SRR5047142
SRS1815295	SRR5047064
